* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 12dB  , MICROPHONE, R, volume: 1.000. Timing signal peak level -23.0 dBFS, measurement signal peak level -18.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 15, 2023 8:38:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1348 ms (-46 mm, -1.82 in) using IR start time relative to Acoustic reference played from SPEAKER R with -0.0186 ms (-6.4 mm, -0.25 in) timing offset Clock adjustment: 1,237.9 ppm
* Measurement: crossover v2 76
* Smoothing: Psychoacoustic
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
690.000000, 70.548, -78.8213
700.000000, 70.139, -99.1250
710.000000, 69.703, -117.8386
720.000000, 69.273, -135.0723
730.000000, 68.901, -151.0288
740.000000, 68.654, -166.1016
750.000000, 68.595, 179.0420
762.000000, 68.814, 160.1411
775.000000, 69.354, 136.1814
788.000000, 70.081, 106.2849
800.000000, 70.816, 71.9150
812.000000, 71.556, 30.3853
825.000000, 72.323, -22.4473
838.000000, 73.021, -82.0034
850.000000, 73.580, -140.6367
862.000000, 74.040, 160.0195
875.000000, 74.421, 98.0586
885.000000, 74.637, 53.6528
900.000000, 74.855, -6.1699
912.000000, 74.963, -48.0264
925.000000, 75.034, -88.0303
938.000000, 75.070, -123.5645
950.000000, 75.078, -153.3818
962.000000, 75.062, 178.8623
975.000000, 75.022, 150.4033
988.000000, 74.962, 123.0088
1000.000000, 74.893, 98.2310
1015.000000, 74.784, 67.4385
1030.000000, 74.638, 36.3301
1044.000000, 74.455, 6.4985
1060.000000, 74.184, -29.3843
1075.000000, 73.877, -65.9717
1090.000000, 73.542, -107.0923
1106.000000, 73.185, -158.2422
1120.000000, 72.902, 148.7803
1138.000000, 72.615, 66.6436
1150.000000, 72.487, 2.0229
1172.000000, 72.396, -137.1675
1180.000000, 72.408, 166.3125
1206.000000, 72.580, -30.7480
1220.000000, 72.738, -138.9219
1241.000000, 73.024, 67.0112
1250.000000, 73.157, 6.2642
1265.000000, 73.382, -86.0732
1280.000000, 73.611, -166.6328
1315.000000, 74.162, 47.3770
1320.000000, 74.243, 30.5156
1340.000000, 74.565, -29.5464
1360.000000, 74.868, -80.7090
1380.000000, 75.120, -126.2178
1400.000000, 75.291, -168.4595
1430.000000, 75.354, 130.8857
1450.000000, 75.261, 90.7124
1475.000000, 75.019, 39.2637
1500.000000, 74.692, -15.2061
1525.000000, 74.363, -74.4922
1550.000000, 74.114, -139.8311
1575.000000, 73.999, 148.8784
1600.000000, 74.024, 73.5000
1625.000000, 74.148, -2.7446
1650.000000, 74.309, -76.3970
1675.000000, 74.447, -144.8433
1700.000000, 74.523, 153.2446
1725.000000, 74.528, 98.0576
1750.000000, 74.480, 49.0254
1775.000000, 74.424, 5.1470
1800.000000, 74.406, -34.7788
1825.000000, 74.463, -71.9805
1850.000000, 74.601, -107.5781
1875.000000, 74.799, -142.4473
1900.000000, 75.025, -177.1494
1925.000000, 75.250, 148.0591
1950.000000, 75.456, 113.1396
1975.000000, 75.640, 78.1729
2000.000000, 75.804, 43.2578
2030.000000, 75.989, 1.5146
2060.000000, 76.168, -40.0576
2090.000000, 76.341, -81.4858
2120.000000, 76.504, -122.7690
2140.000000, 76.606, -150.1924
2180.000000, 76.798, 155.2207
2200.000000, 76.888, 128.0352
2240.000000, 77.053, 73.7412
2270.000000, 77.149, 33.0107
2300.000000, 77.204, -7.7490
2330.000000, 77.206, -48.4844
2360.000000, 77.151, -89.0869
2400.000000, 77.000, -142.8867
2430.000000, 76.846, 176.9990
2470.000000, 76.623, 123.5674
2500.000000, 76.463, 83.1816
2540.000000, 76.281, 28.2422
2580.000000, 76.135, -28.8418
2620.000000, 76.009, -89.0732
2650.000000, 75.914, -136.8906
2690.000000, 75.775, 155.1777
2720.000000, 75.659, 100.8320
2760.000000, 75.496, 23.9180
2800.000000, 75.336, -57.2090
2850.000000, 75.150, -161.6484
2900.000000, 74.968, 95.1953
2950.000000, 74.757, -2.0049
3000.000000, 74.497, -90.4619
3040.000000, 74.255, -154.4971
3070.000000, 74.063, 161.1074
3110.000000, 73.808, 106.0537
3150.000000, 73.574, 54.8105
3200.000000, 73.331, -5.3428
3250.000000, 73.154, -62.5586
3300.000000, 73.035, -117.8848
3350.000000, 72.960, -171.9639
3400.000000, 72.908, 134.8506
3450.000000, 72.869, 82.3633
3500.000000, 72.835, 30.4375
3550.000000, 72.802, -21.0469
3600.000000, 72.763, -72.1816
3650.000000, 72.713, -122.9658
3700.000000, 72.648, -173.3281
3750.000000, 72.570, 136.8066
3820.000000, 72.451, 67.9355
3870.000000, 72.367, 19.4189
3950.000000, 72.240, -57.1299
4000.000000, 72.164, -104.3701
4060.000000, 72.067, -160.4688
4120.000000, 71.958, 144.1152
4180.000000, 71.838, 89.4355
4250.000000, 71.696, 26.6514
4310.000000, 71.587, -26.2715
4370.000000, 71.507, -78.3945
4440.000000, 71.468, -138.2656
4500.000000, 71.495, 171.1094
4550.000000, 71.565, 129.3145
4620.000000, 71.729, 71.2539
4680.000000, 71.920, 21.7578
4750.000000, 72.178, -35.7627
4820.000000, 72.450, -93.0703
4870.000000, 72.641, -133.8691
4940.000000, 72.893, 169.1953
5000.000000, 73.087, 120.6367
5080.000000, 73.313, 56.3047
5150.000000, 73.479, 0.4570
5220.000000, 73.616, -54.9688
5300.000000, 73.736, -117.7734
5380.000000, 73.809, -179.9873
5450.000000, 73.833, 126.1094
5520.000000, 73.820, 72.7656
5600.000000, 73.760, 12.5508
5700.000000, 73.628, -61.4570
5800.000000, 73.449, -133.9043
5900.000000, 73.250, 155.3096
6000.000000, 73.069, 86.1621
6080.000000, 72.967, 31.9365
6150.000000, 72.923, -14.8145
6220.000000, 72.930, -60.9990
6300.000000, 73.000, -113.2090
6400.000000, 73.172, -177.7432
6500.000000, 73.414, 118.3496
6600.000000, 73.698, 54.9961
6700.000000, 73.999, -7.8652
6800.000000, 74.296, -70.3047
6900.000000, 74.571, -132.3291
7000.000000, 74.806, 166.0244
7100.000000, 74.990, 104.8213
7200.000000, 75.117, 44.1670
7300.000000, 75.189, -15.8252
7400.000000, 75.217, -74.9971
7500.000000, 75.214, -133.2812
7620.000000, 75.195, 157.9980
7750.000000, 75.181, 84.9746
7880.000000, 75.187, 13.2617
8000.000000, 75.204, -51.9512
8120.000000, 75.218, -116.2803
8250.000000, 75.210, 175.0332
8380.000000, 75.165, 107.5107
8500.000000, 75.087, 46.3164
8620.000000, 74.980, -13.6748
8750.000000, 74.851, -77.2275
8850.000000, 74.759, -125.1260
9000.000000, 74.666, 164.5186
9120.000000, 74.651, 109.3594
9250.000000, 74.708, 50.5010
9380.000000, 74.836, -7.6035
9500.000000, 75.006, -60.7793
9620.000000, 75.209, -113.5898
9750.000000, 75.448, -170.5127
9880.000000, 75.687, 132.6807
10000.000000, 75.894, 80.5215
10150.000000, 76.119, 15.3350
10300.000000, 76.290, -49.4639
10440.000000, 76.392, -109.7969
10600.000000, 76.434, -178.3975
10750.000000, 76.396, 117.7822
10900.000000, 76.284, 54.5205
11060.000000, 76.090, -12.1816
11200.000000, 75.861, -69.7900
11380.000000, 75.497, -142.7041
11500.000000, 75.218, 169.5127
11720.000000, 74.645, 83.7754
11800.000000, 74.423, 53.2480
12060.000000, 73.682, -43.3350
12200.000000, 73.291, -93.5869
12410.000000, 72.752, -166.5518
12500.000000, 72.548, 163.0889
12650.000000, 72.256, 113.7139
12800.000000, 72.033, 65.8945
13150.000000, 71.807, -39.7188
13200.000000, 71.806, -54.1455
13400.000000, 71.873, -110.2051
13600.000000, 72.030, -163.8584
13800.000000, 72.246, 144.6973
14000.000000, 72.485, 95.2070
14300.000000, 72.816, 24.1953
14500.000000, 72.978, -21.0918
14750.000000, 73.087, -75.3945
15000.000000, 73.076, -126.9180
15250.000000, 72.942, -175.4785
15500.000000, 72.694, 139.2061
15750.000000, 72.346, 97.2607
16000.000000, 71.918, 58.7061
16250.000000, 71.435, 23.4609
16500.000000, 70.924, -8.6016
16750.000000, 70.412, -37.7021
17000.000000, 69.923, -63.9512
17250.000000, 69.474, -87.4639
17500.000000, 69.075, -108.1953
17750.000000, 68.731, -125.9873
18000.000000, 68.441, -140.6260
18250.000000, 68.206, -151.9316
18500.000000, 68.031, -159.9238
18750.000000, 67.914, -164.9102
19000.000000, 67.850, -167.4922
19250.000000, 67.824, -168.4824
19500.000000, 67.818, -168.7695
19750.000000, 67.817, -168.7695
